"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW_A1,SW_A1,SW_A1,SW_DOWN1,SW_DOWN1,SW_DOWN1,SW_RESET1,SW_RESET1,SW_RESET1,SW_B1,SW_B1,SW_B1,SW_PROG1,SW_PROG1,SW_PROG1,SW_LEFT1,SW_LEFT1,SW_LEFT1,SW_RIGHT1,SW_RIGHT1,SW_RIGHT1,SW_UP1,SW_UP1,SW_UP1,SW_A1,SW_DOWN1,SW_LEFT1,SW_PROG1,SW_B1,SW_UP1,SW_RIGHT1,SW_RESET1";"FSM4JSMATR";32;"SW_SPST";;;
2;"R1,R1,R1,R3,R3,R3,R3,R1";"R_0805_2012Metric";8;"10k";;;
3;"D2,D2,D2,D2";"DO-214-FM5817";4;"FM5817";;;
4;"tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16,tmp_ref16";"1pin";88;"1pin";;;
5;"M2,M2,M2,M2";"L_0805_2012Metric";4;"10uH";;;
6;"R26,R26,R26,R26";"R_0805_2012Metric";4;"30000";;;
7;"C17,C17,C17,C1,C1,C1,C15,C15,C15,C3,C3,C3,C19,C19,C19,C18,C18,C18,C2,C2,C2,C16,C16,C16,C14,C14,C14,C19,C15,C3,C17,C1,C14,C16,C18,C2";"C_0805_2012Metric";36;"1uF";;;
8;"R14,R14,R14,R20,R20,R20,R25,R25,R25,R23,R23,R23,R21,R21,R21,R24,R24,R24,R14,R24,R21,R23,R25,R20";"R_0805_2012Metric";24;"10.0k";;;
9;"U7,U7,U7,U7";"SOT-23-5";4;"MCP73831";;;
10;"C6,C6,C6,C4,C4,C4,C11,C11,C11,C10,C10,C10,C4,C6,C11,C10";"C_0805_2012Metric";16;"4.7uF";;;
11;"C7,C7,C7,C5,C5,C5,C5,C7";"C_0805_2012Metric";8;"0.1uF";;;
12;"J2,J2,J2,J2";"PinHeader_2x07_P2.54mm_Vertical_SMD";4;"Conn_JTAG";;;
13;"CP1,CP1,CP1,CP1";"CP_Elec_6.3x5.4_Nichicon";4;"100u-6.3v";;;
14;"LED3,LED3,LED3,LED2,LED2,LED2,LED1,LED1,LED1,LED4,LED4,LED4,LED2,LED1,LED3,LED4";"LED_0603_1608Metric";16;"LED";;;
15;"J3,J3,J3,CONN_BATT1,CONN_BATT1,CONN_BATT1,J3,CONN_BATT1";"PinHeader_1x02_P2.54mm_Vertical";8;"Conn_01x02";;;
16;"R18,R18,R18,R18";"R_0805_2012Metric";4;"10M";;;
17;"J4,J4,J4,J4";"USB_Micro-B_Molex_47346-0001";4;"USB_B_Micro";;;
18;"Q1,Q1,Q1,Q1";"SOT-23";4;"2N7002";;;
19;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Fiducial_1mm_Dia_2mm_Outer";12;"Fiducial_1mm_Dia_2mm_Outer";;;
20;"C9,C9,C9,C9";"C_0805_2012Metric";4;"2.2uF";;;
21;"Q2,Q2,Q2,Q3,Q3,Q3,Q2,Q3";"SOT-23";8;"BT3904";;;
22;"U3,U3,U3,U3";"DFN6-3.6x2.15mmP0.95";4;"NCP5661";;;
23;"U2,U2,U2,U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";4;"CP2102N-A01-GQFN24";;;
24;"C13,C13,C13,C13";"C_0805_2012Metric";4;"10uF";;;
25;"R16,R16,R16,R16";"R_0805_2012Metric";4;"9.0k 1%";;;
26;"R5,R5,R5,R22,R22,R22,R4,R4,R4,R5,R22,R4";"R_0805_2012Metric";12;"470R";;;
27;"J1,J1,J1,J1";"DF23C-10DS-0.5V(51)";4;"Hirose DF23C-10DS-0.5";;;
28;"R8,R8,R8,R9,R9,R9,R10,R10,R10,R17,R17,R17,R9,R8,R17,R10";"R_0805_2012Metric";16;"1.0k 1%";;;
29;"R13,R13,R13,R13";"R_0805_2012Metric";4;"150R";;;
30;"R12,R12,R12,R11,R11,R11,R2,R2,R2,R11,R12,R2";"R_0805_2012Metric";12;"75R";;;
31;"U6,U6,U6,U6";"MQ-3";4;"GAS_SENSOR";;;
32;"R6,R6,R6,R6";"R_0805_2012Metric";4;"22.1k";;;
33;"R19,R19,R19,R19";"R_0805_2012Metric";4;"2.0k";;;
34;"R7,R7,R7,R7";"R_0805_2012Metric";4;"47.5k";;;
35;"G***,G***,G***,G***";"brucon-Large-bw";4;"LOGO";;;
36;"U1,U1,U1,U1";"ESP32-WROOM";4;"ESP32-WROOM";;;
37;"CP2,CP2,CP2,CP2";"CP_Elec_6.3x5.4_Nichicon";4;"100u";;;
38;"R27,R27,R27,R27";"R_0805_2012Metric";4;"47000";;;
39;"U5,U5,U5,U5";"SOT-23-5";4;"MIC2288YD5";;;
40;"U8,U8,U8,U8";"SOT-23";4;"MCP112-315";;;
